id,source,question,answers,links,num_links,num_contexts,contexts_preview
6402c910201352f04a00000c,bioasq,Can losartan reduce brain atrophy in Alzheimer's disease?,No. 12 months of treatment with losartan was well tolerated but was not effective in reducing the rate of brain atrophy in individuals with clinically diagnosed mild-to-moderate Alzheimer's disease.,http://www.ncbi.nlm.nih.gov/pubmed/34687634,1,1,INTERPRETATION: 12 months of treatment with losartan was well tolerated but was not effective in reducing the rate of brain atrophy in individuals with clinically diagnosed mild-to-moderate Alzheimer's disease.
640f857d201352f04a00002b,bioasq,What is CHARMS with respect to medical review of predictive modeling?,CHARMS stands for CHecklist for critical Appraisal and data extraction for systematic Reviews of prediction Modelling Studies (CHARMS). | CHARMS stands for Checklist for Critical Appraisal and Data Extraction for Systematic Reviews of Prediction Modeling Studies. It is a tool used to assess the quality of systematic reviews of predictive modeling studies in the medical field. | CHecklist for critical Appraisal and data extraction for systematic Reviews of prediction Modelling Studies (CHARMS).,http://www.ncbi.nlm.nih.gov/pubmed/35633976 | http://www.ncbi.nlm.nih.gov/pubmed/35321760 | http://www.ncbi.nlm.nih.gov/pubmed/35196337 | http://www.ncbi.nlm.nih.gov/pubmed/35493941 | http://www.ncbi.nlm.nih.gov/pubmed/25314315 | http://www.ncbi.nlm.nih.gov/pubmed/32453803 | http://www.ncbi.nlm.nih.gov/pubmed/32583899 | http://www.ncbi.nlm.nih.gov/pubmed/33364802 | http://www.ncbi.nlm.nih.gov/pubmed/31762119 | http://www.ncbi.nlm.nih.gov/pubmed/31441567 | http://www.ncbi.nlm.nih.gov/pubmed/31439598 | http://www.ncbi.nlm.nih.gov/pubmed/35934199 | http://www.ncbi.nlm.nih.gov/pubmed/31090660 | http://www.ncbi.nlm.nih.gov/pubmed/33407048 | http://www.ncbi.nlm.nih.gov/pubmed/32978532 | http://www.ncbi.nlm.nih.gov/pubmed/28284255 | http://www.ncbi.nlm.nih.gov/pubmed/33492724 | http://www.ncbi.nlm.nih.gov/pubmed/34413828 | http://www.ncbi.nlm.nih.gov/pubmed/35395724,19,30,"CHecklist for critical Appraisal and data extraction for systematic Reviews of prediction Modelling Studies (CHARMS). | We will extract data based on the Checklist for Critical Appraisal and Data Extraction for Systematic Reviews of Prediction Modeling Studies (CHARMS),"
6410eb95201352f04a00002e,bioasq,Which splicing factors have been associated with alternative splicing in PLN R14del hearts?,Bioinformatical analysis pointed to the tissue-specific splicing factors Srrm4 and Nova1 as likely upstream regulators of the observed splicing changes in the PLN-R14del cardiomyocytes.,http://www.ncbi.nlm.nih.gov/pubmed/36375644,1,2,"Our work suggests that an intricate interplay of programs controlling gene expression levels and AS is fundamental to organ development, especially for the brain and heart. | Bioinformatical analysis pointed to the tissue-specific splicing factors Srrm4 and Nova1 as likely upstream regulators of the observed splicing changes in the PLN-R14del cardiomyocytes."
64162fb0690f196b5100001a,bioasq,What are the most common mutation types in Duchenne muscular Dystrophy?,"The most common mutation types are deletions, duplications, point mutations, deletion/duplication complex rearrangement,nonsense/frameshift mutations, mutations in splice sites. | The most common mutation types in Duchenne muscular Dystrophy are deletions, point mutations, and duplications. | gene deletion rate was 54.3% (391/720), and gene duplication rate was 10.6% (76/720) The rate of deletion mutant occurred in Exon 45-54 was 71.9% (281/391) in all gene deletion patients; meanwhile, the rate of gene duplication occurred in Exon 1-40 was 82.9% (63/76) in all gene duplication ones. The Duchenne Muscular dystrophy (DMD) is the most frequent muscle disorder in childhood caused by mutations in the Xlinked dystrophin gene (about 65% deletions, about 7% duplications, about 26% point mutations and about 2% unknown mutations). | The most common mutation types in Duchenne muscular dystrophy (DMD) are deletions, duplications, and point mutations in the dystrophin gene. | The most common mutation types in Duchenne muscular Dystrophy are deletions (64%), duplications (18%), and point mutations (18%). Of these, exonic deletions (70.5%) and exonic duplications (11.1%) are the most frequent, followed by small mutations (18.2%), mostly nonsense/frameshift types (75.2%) and mutations in splice sites (20%). Gene deletion rate was 54.3% (391/720) and gene duplication rate was 10.6% (76/720). In all the patients with gene deletion and duplication, the rate of DMD and IMD was 90.6% (423/467), and BMD, 9.4% (44/467). | The most common mutation types in Duchenne muscular dystrophy are deletions, duplications, and point mutations. | The most common mutation types in Duchenne muscular Dystrophy are exonic deletions, exonic duplications, and point mutations. | The Duchenne Muscular dystrophy (DMD) is the most frequent muscle disorder in childhood caused by mutations in the Xlinked dystrophin gene (about 65% deletions, about 7% duplications, about 26% point mutations and about 2% unknown mutations). | Duchenne muscular dystrophy (DMD) is caused by mutations in the X-linked dystrophin gene. The most common mutation types in DMD are deletions, which account for about 65% of cases, followed by point mutations at around 26%, duplications at approximately 7%, and unknown mutations at about 2%. Exonic deletions are the most frequent type of mutation, accounting for over 70% of all exonic mutations. Small mutations were identified in about 18% of cases, with nonsense/frameshift types being the most common. Mutations in splice sites were also relatively frequent, occurring in about 20% of cases. In patients with gene deletion and duplication, the rate of DMD and IMD was around 90.6%, while BMD accounted for only about 9.4% of cases. | Duchenne muscular dystrophy (DMD) is a genetic disorder caused by mutations in the DMD gene, which encodes for the protein dystrophin. The most common mutation types in DMD are large deletions, accounting for approximately 60-70% of cases. These deletions often disrupt the reading frame of the gene, leading to a nonfunctional or truncated dystrophin protein. Another frequent mutation type is duplications, which represent around 5-10% of cases and can also disrupt the reading frame. Small mutations, such as point mutations and small insertions or deletions, account for about 20-30% of DMD cases and can lead to premature stop codons or altered amino acids that impair protein function. Among these small mutations, nonsense mutations are particularly common and cause a premature termination of translation. Overall, these various mutation types result in reduced or absent dystrophin expression, compromising muscle fiber integrity and leading to progressive muscle weakness and degeneration characteristic of Duchenne muscular dystrophy. | The most common mutation types in Duchenne muscular dystrophy (DMD) are deletions, duplications, and point mutations. DMD is caused by mutations in the X-linked dystrophin gene, with approximately 65% of cases resulting from deletions, 7% from duplications, and 26% from point mutations. In one study, it was found that among identified mutations, 64% were deletions, 18% were duplications, and 18% were point mutations. Another study reported that out of all detected mutations, 70.5% were exonic deletions, 11.1% were exonic duplications, and 18.2% were small mutations (mostly nonsense/frameshift types). Additionally, a gene deletion rate of 54.3% and a gene duplication rate of 10.6% have been observed in some patient cohorts. Deletion mutants frequently occur in Exon 45-54 (71.9%), while gene duplications often occur in Exon 1-40 (82.9%). Overall, the majority of DMD cases are caused by deletions in the dystrophin gene followed by point mutations and duplications as less frequent causes.",http://www.ncbi.nlm.nih.gov/pubmed/31381525 | http://www.ncbi.nlm.nih.gov/pubmed/26284620 | http://www.ncbi.nlm.nih.gov/pubmed/21402533 | http://www.ncbi.nlm.nih.gov/pubmed/23620649 | http://www.ncbi.nlm.nih.gov/pubmed/35064276 | http://www.ncbi.nlm.nih.gov/pubmed/29973226,6,10,"64% deletions, 18% duplications and 18% point mutations. | Of these, 406 (70.5%) were exonic deletions, 64 (11.1%) were exonic duplications, and one was a deletion/duplication complex rearrangement (0.2%). Small mutations were identified in 105 cases (18.2%), most being nonsense/frameshift types (75.2%). Mutations in splice sites, however, were relatively frequent (20%)."
63eef3ebf36125a42600000a,bioasq,What is the target of Litifilimab?,Litifilimab is a humanized monoclonal antibody against BDCA2 that is being developed for treatment of cutaneous lupus erythematosus.,http://www.ncbi.nlm.nih.gov/pubmed/35939578 | http://www.ncbi.nlm.nih.gov/pubmed/36069871,2,4,"Trial of Anti-BDCA2 Antibody Litifilimab for Cutaneous Lupus Erythematosus. | Whether treatment with litifilimab, a humanized monoclonal antibody against BDCA2, would be efficacious in reducing disease activity in patients with cutaneous lupus erythematosus has not been extensively studied."
64136fbf201352f04a00003d,bioasq,What is AUROC in context of predictive modeling?,". AUROC stands for the area under the receiver operator characteristics curve (AUROC) | . The area under the receiver operator characteristics curve (AUROC) | AUROC is an evaluation metric used to measure the performance of a predictive model. It is calculated by measuring the area under the receiver operating characteristic curve, which is a graphical representation of the model's true positive rate and false positive rate. | AUROC stands for Area Under the Receiver Operating Characteristic Curve. It is a metric used to evaluate the performance of a predictive model by measuring the trade-off between true positive rate and false positive rate at various threshold levels. A higher AUROC value indicates better model performance. | area under receiver operator curve [AUROC]",http://www.ncbi.nlm.nih.gov/pubmed/35610482 | http://www.ncbi.nlm.nih.gov/pubmed/35426141 | http://www.ncbi.nlm.nih.gov/pubmed/35438215 | http://www.ncbi.nlm.nih.gov/pubmed/33203588 | http://www.ncbi.nlm.nih.gov/pubmed/31437918 | http://www.ncbi.nlm.nih.gov/pubmed/31304302 | http://www.ncbi.nlm.nih.gov/pubmed/34865209 | http://www.ncbi.nlm.nih.gov/pubmed/32930711 | http://www.ncbi.nlm.nih.gov/pubmed/25958031 | http://www.ncbi.nlm.nih.gov/pubmed/30842277 | http://www.ncbi.nlm.nih.gov/pubmed/34908548 | http://www.ncbi.nlm.nih.gov/pubmed/31807867 | http://www.ncbi.nlm.nih.gov/pubmed/35509018 | http://www.ncbi.nlm.nih.gov/pubmed/31093546 | http://www.ncbi.nlm.nih.gov/pubmed/35505048 | http://www.ncbi.nlm.nih.gov/pubmed/31932807 | http://www.ncbi.nlm.nih.gov/pubmed/21958955 | http://www.ncbi.nlm.nih.gov/pubmed/17309939 | http://www.ncbi.nlm.nih.gov/pubmed/28860560 | http://www.ncbi.nlm.nih.gov/pubmed/26592354 | http://www.ncbi.nlm.nih.gov/pubmed/31094792 | http://www.ncbi.nlm.nih.gov/pubmed/33088899 | http://www.ncbi.nlm.nih.gov/pubmed/23620757 | http://www.ncbi.nlm.nih.gov/pubmed/34154565 | http://www.ncbi.nlm.nih.gov/pubmed/28323524 | http://www.ncbi.nlm.nih.gov/pubmed/35879562 | http://www.ncbi.nlm.nih.gov/pubmed/36329470 | http://www.ncbi.nlm.nih.gov/pubmed/31509205 | http://www.ncbi.nlm.nih.gov/pubmed/25885260 | http://www.ncbi.nlm.nih.gov/pubmed/31967640,30,40,. The area under the receiver operator characteristics curve (AUROC) | area under receiver operator curve [AUROC]
63fa13da201352f04a000001,bioasq,Is PRP-40 regulation of microexons a conserved phenomenon?,"Yes, PRP-40 regulation of neuronal microexons is a widely conserved phenomenon.",http://www.ncbi.nlm.nih.gov/pubmed/34348142,1,1,PRP-40 regulation of neuronal microexons is therefore a widely conserved phenomenon.
64178e15690f196b51000020,bioasq,Is casimersen effective for the treatment of Duchenne muscular dystrophy?,"Yes, casimersen is considered to be effective for the treatment of Duchenne muscular dystrophy. | Yes, casimersen is effective for the treatment of Duchenne muscular dystrophy. | Yes, casimersen has been approved by the U.S. Food and Drug Administration (FDA) for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the dystrophin gene amenable to exon 45 skipping. Clinical trials have shown that casimersen can improve muscle function in some patients with DMD. | Yes, casimersen has been approved for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 45 skipping. The approval was based on an observed increase in dystrophin production in skeletal muscle in patients treated with casimersen. | Yes, Casimersen is effective for the treatment of Duchenne muscular dystrophy in patients who have a confirmed mutation of the DMD gene that is amenable to exon 45 skipping. It has been approved by the US FDA under the accelerated approval program based on an observed increase in dystrophin production in skeletal muscle in treated patients. | Yes, casimersen is effective for the treatment of Duchenne muscular dystrophy in patients with a confirmed mutation of the DMD gene that is amenable to exon 45 skipping. It received approval from the US FDA in February 2021. | Casimersen has been approved by the US FDA for the treatment of Duchenne muscular dystrophy (DMD) in patients with a confirmed mutation of the DMD gene that is amenable to exon 45 skipping. The approval was granted under the Accelerated Approval Program based on an observed increase in dystrophin production in skeletal muscle in patients treated with casimersen. This drug is designed to skip exon 45 during pre-mRNA splicing, allowing for the production of a truncated but functional form of dystrophin protein. Clinical trials have shown that casimersen can increase dystrophin levels in patients with DMD, which may lead to improved muscle function and delayed disease progression. However, further studies are needed to determine the long-term safety and efficacy of this treatment. | Casimersen is an antisense oligonucleotide drug designed to treat Duchenne muscular dystrophy (DMD) in patients with specific genetic mutations. It works by promoting exon 45 skipping during the pre-mRNA splicing process, which allows for the production of a partially functional dystrophin protein, essential for muscle function. The effectiveness of casimersen was demonstrated in a phase 3 clinical trial called ESSENCE (NCT02500381), which evaluated its safety and efficacy in DMD patients amenable to exon 45 skipping. In February 2021, the U.S. Food and Drug Administration (FDA) granted accelerated approval to casimersen (brand name Amondys 45) based on an increase in dystrophin production observed in skeletal muscle biopsies from treated patients. While this surrogate endpoint is reasonably likely to predict clinical benefit, confirmatory trials are needed to verify the drug's impact on motor function and other clinically meaningful outcomes. Overall, casimersen has shown promise as a treatment option for DMD patients with specific genetic mutations; however, further research is required to establish its long-term benefits and safety profile. | Casimersen is an FDA-approved treatment for Duchenne muscular dystrophy (DMD) in patients with a confirmed mutation of the DMD gene that is amenable to exon 45 skipping. The approval, granted on February 25, 2021, under the US FDA Accelerated Approval Program, was based on an observed increase in dystrophin production in skeletal muscle in patients treated with casimersen. This increase in dystrophin levels suggests that casimersen may be effective for treating DMD; however, further studies are needed to confirm its long-term efficacy and safety profile.",http://www.ncbi.nlm.nih.gov/pubmed/33861387,1,2,"Casimersen received its first approval on 25 February 2021, in the USA, for the treatment of DMD in patients who have a confirmed mutation of the DMD gene that is amenable to exon 45 skipping. | he approval, granted under the US FDA Accelerated Approval Program, was based on an observed increase in dystrophin production in skeletal muscle in patients treated with casimersen"
63f02ceaf36125a426000015,bioasq,Which are the targets of Tirzepatide?,Tirzepatide is a dual incretin hormones glucagon-like peptide 1 (GLP-1) and glucose-dependent insulinotropic polypeptide (GIP)  receptor agonist in the form of a synthetic linear peptide.,http://www.ncbi.nlm.nih.gov/pubmed/35651477 | http://www.ncbi.nlm.nih.gov/pubmed/35658024 | http://www.ncbi.nlm.nih.gov/pubmed/35593668,3,4,"Designing a Dual GLP-1R/GIPR Agonist from Tirzepatide: Comparing Residues Between Tirzepatide, GLP-1, and GIP. | he efficacy and safety of tirzepatide, a novel glucose-dependent insulinotropic polypeptide and glucagon-like peptide-1 receptor agonist, in people with obesity are not known."
640e2616201352f04a00002a,bioasq,Is medical hydrology the same as Spa therapy?,"Medical Hydrology is defined as the therapeutic use of bathing and water and would include therapeutic spa therapy | Yes, medical hydrology is the same as spa therapy. | No, medical hydrology is not the same as Spa therapy. Medical hydrology is a form of hydrotherapy that uses water to treat medical conditions, while Spa therapy is a form of relaxation and beauty treatments. | No, medical hydrology and spa therapy are related but not the same. Medical hydrology involves the therapeutic use of water in a medical setting, while spa therapy uses water treatments in a relaxation and wellness setting. | Yes, medical hydrology is essentially the same as spa therapy, focusing on the use of water and its therapeutic properties for treating various health conditions.",http://www.ncbi.nlm.nih.gov/pubmed/35779167 | http://www.ncbi.nlm.nih.gov/pubmed/32875343 | http://www.ncbi.nlm.nih.gov/pubmed/32568298,3,5,"hydrotherapy,"" ""balneotherapy,"" ""spa therapy,"" ""spa treatment,"" ""creno-balneotherapy,"" ""water treatments,"" and ""aqua therapy,"" o | Spa therapy is an integral part of the treatment of burn scars. The objective of this systematic review is to provide an overview of the spa therapy used in the treatment of burn scars and analyze its effects reported in clinical studies. We used the PRISMA checklist and queried 8 scientific databases from August 2019 to July 2020 for articles referenced with the specific key words: (burn) AND ((spa) OR (crenotherap*) OR (sulfur bath) OR (balneo*) OR (hydrotherap*) OR (mineral water) OR (thermal water) OR (spring water) OR (health resort medicine))"
